Year (year),State Name (state_name),State Code (state_code),District Name (district_name),District Code (district_code),Season (season),Crop code (crop_code),Crop name (crop_name),Crop category (crop_type),Area (area),Area unit (area_unit),Production (production),Production unit (production_unit),Yield (yield),Yield unit (yield_unit)
" 2015-16","Gujarat","24","Jamnagar","447","Kharif     ","1002","Castor Seed","Oilseeds","8752.0","Hectare","18491.0","Tonnes","2.11","Tonnes/Hectare"
" 2014-15","Mizoram","15","Lawngtlai","264","Kharif     ","288","Other Kharif Pulses","Pulses","70.0","Hectare","60.0","Tonnes","0.86","Tonnes/Hectare"
" 2012-13","Meghalaya","17","West Garo Hills","278","Whole Year ","501","Black Pepper","Spices","355.0","Hectare","214.0","Tonnes","0.6","Tonnes/Hectare"
" 2014-15","Maharashtra","27","Sangli","493","Kharif     ","104","Maize","Cereals","37100.0","Hectare","146400.0","Tonnes","3.95","Tonnes/Hectare"
" 2007-08","Madhya Pradesh","23","Shivpuri","432","Kharif     ","203","Urad","Pulses","17962.0","Hectare","5193.0","Tonnes","0.29","Tonnes/Hectare"
" 1999-00","Madhya Pradesh","23","Sheopur","431","Rabi       ","107","Barley","Cereals","498.0","Hectare","692.0","Tonnes","1.39","Tonnes/Hectare"
" 2008-09","Arunachal Pradesh","12","Changlang","229","Whole Year ","503","Ginger","Spices","494.0","Hectare","3531.0","Tonnes","7.15","Tonnes/Hectare"
" 2018-19","Tamil Nadu","33","Thiruvallur","589","Kharif     ","203","Urad","Pulses","259.0","Hectare","197.0","Tonnes","0.76","Tonnes/Hectare"
" 2002-03","Bihar","10","Vaishali","224","Whole Year ","701","Potato","Vegetable","6861.0","Hectare","45570.0","Tonnes","6.64","Tonnes/Hectare"
" 2010-11","Madhya Pradesh","23","Sidhi","433","Kharif     ","104","Maize","Cereals","8930.0","Hectare","9543.0","Tonnes","1.07","Tonnes/Hectare"
" 2015-16","Assam","18","Baksa","616","Whole Year ","1302","Tobacco","Drugs And Narcotics","5.0","Hectare","2.0","Tonnes","0.4","Tonnes/Hectare"
" 2007-08","Assam","18","Udalguri","617","Whole Year ","502","Dry Chillies","Spices","809.0","Hectare","502.0","Tonnes","0.62","Tonnes/Hectare"
" 2005-06","Karnataka","29","Raichur","546","Kharif     ","1010","Niger Seed","Oilseeds","9.0","Hectare","1.0","Tonnes","0.11","Tonnes/Hectare"
" 2003-04","Madhya Pradesh","23","Jhabua","412","Whole Year ","401","Sugarcane","Sugar","11.0","Hectare","330.0","Tonnes","30.0","Tonnes/Hectare"
" 2005-06","Madhya Pradesh","23","Khandwa","408","Rabi       ","1004","Rapeseed &Mustard","Oilseeds","17.0","Hectare","11.0","Tonnes","0.65","Tonnes/Hectare"
" 2013-14","Assam","18","Karbi Anglong","292","Whole Year ","503","Ginger","Spices","1566.0","Hectare","12728.0","Tonnes","8.13","Tonnes/Hectare"
" 2005-06","Gujarat","24","Gandhinagar","446","Kharif     ","101","Rice","Cereals","10000.0","Hectare","27200.0","Tonnes","2.72","Tonnes/Hectare"
" 2012-13","Bihar","10","Purbi Champaran","213","Kharif     ","1003","Sesamum","Oilseeds","15.0","Hectare","13.0","Tonnes","0.87","Tonnes/Hectare"
" 2016-17","Nagaland","13","Dimapur","244","Rabi       ","1004","Rapeseed &Mustard","Oilseeds","4310.0","Hectare","4370.0","Tonnes","1.01","Tonnes/Hectare"
" 2016-17","Karnataka","29","Chamarajanagara","531","Rabi       ","201","Gram","Pulses","531.0","Hectare","5.0","Tonnes","0.01","Tonnes/Hectare"
" 2010-11","Telangana","28","Adilabad","501","Kharif     ","202","Arhar/Tur","Pulses","47884.0","Hectare","26193.0","Tonnes","0.55","Tonnes/Hectare"
" 1999-00","Telangana","28","Mahabubnagar","512","Rabi       ","102","Jowar","Cereals","56226.0","Hectare","33061.0","Tonnes","0.59","Tonnes/Hectare"
" 2017-18","Gujarat","24","Bharuch","442","Summer     ","103","Bajra","Cereals","320.0","Hectare","601.0","Tonnes","1.88","Tonnes/Hectare"
" 2017-18","Tamil Nadu","33","Karur","576","Rabi       ","288","Other  Rabi Pulses","Pulses","923.0","Hectare","609.0","Tonnes","0.66","Tonnes/Hectare"
" 2000-01","Gujarat","24","Banas Kantha","441","Whole Year ","1302","Tobacco","Drugs And Narcotics","3000.0","Hectare","5100.0","Tonnes","1.7","Tonnes/Hectare"
" 2015-16","Chhattisgarh","22","Mungeli","647","Rabi       ","213","Peas & Beans (Pulses)","Pulses","243.0","Hectare","96.0","Tonnes","0.4","Tonnes/Hectare"
" 2002-03","Meghalaya","17","East Khasi Hills","274","Whole Year ","606","Banana","Fruits","645.0","Hectare","8478.0","Tonnes","13.14","Tonnes/Hectare"
" 2015-16","Meghalaya","17","South Garo Hills","277","Winter     ","101","Rice","Cereals","3353.0","Hectare","7941.0","Tonnes","2.37","Tonnes/Hectare"
" 2007-08","Gujarat","24","Kachchh","449","Kharif     ","1001","Groundnut","Oilseeds","61700.0","Hectare","90400.0","Tonnes","1.47","Tonnes/Hectare"
" 2007-08","Chhattisgarh","22","Bilaspur","375","Rabi       ","1008","Safflower","Oilseeds","50.0","Hectare","11.0","Tonnes","0.22","Tonnes/Hectare"
" 2014-15","Gujarat","24","Mahisagar","669","Summer     ","1003","Sesamum","Oilseeds","205.0","Hectare","98.0","Tonnes","0.48","Tonnes/Hectare"
" 2001-02","Telangana","28","Mahabubnagar","512","Kharif     ","1007","Sunflower","Oilseeds","17909.0","Hectare","9292.0","Tonnes","0.52","Tonnes/Hectare"
" 2015-16","Karnataka","29","Mandya","544","Whole Year ","503","Ginger","Spices","32.0","Hectare","1195.0","Tonnes","37.34","Tonnes/Hectare"
" 1999-00","Meghalaya","17","East Khasi Hills","274","Kharif     ","104","Maize","Cereals","1900.0","Hectare","3784.0","Tonnes","1.99","Tonnes/Hectare"
" 2009-10","Chhattisgarh","22","Raigarh","386","Kharif     ","1010","Niger Seed","Oilseeds","1264.0","Hectare","210.0","Tonnes","0.17","Tonnes/Hectare"
" 2002-03","Karnataka","29","Bengaluru Urban","525","Whole Year ","606","Banana","Fruits","345.0","Hectare","7631.0","Tonnes","22.12","Tonnes/Hectare"
